,1,2,3,4,5,6,7,8,9,10
207,9.9,4.5,14.8,0.7,30.8,0.9,1.5,0.1,0,8
208,51.9,43.5,67.4,48,39.1,41.1,18.4,30,42.4,51.5
209,83.9,107.7,197.1,248.5,209.2,235.1,322,301.9,292.9,359.8
210,0,0,0,7.2,0,0,0.3,0,2.1,0
211,4850.6,6516.2,7878.9,6406.6,10745.4,11279.7,4239.3,3182,1389.3,2215.2
212,0.2,0.1,0.3,0.3,0.2,0.7,0.4,0.3,0.5,0.7
213,847.9,750.6,1301.6,1464.1,1982.6,2247,521.7,491.9,540.8,651.5
214,0,0,0,0,0,0.1,0.1,0.3,0,0
215,0.4,1.5,2.4,2.4,2.1,7.2,12.9,22.7,23.2,80.7
216,8.7,3.3,2.5,5.8,9.2,22.5,4.9,1.4,0.3,2.5
217,0,0.1,0,0,0,0,0,0,0,0
218,10.6,11.2,18.1,28.1,90.9,32.3,630.5,248.6,30.2,243.4
219,287.7,287.8,486.9,538.4,573.3,836.1,289.7,447.7,208.2,300.3
220,70.2,50.9,139,88.9,118.8,58.6,35.8,31.4,36.2,7.4
221,0.2,0.1,0,0,1.7,0,251,359.7,392.3,563.3
222,0.1,0.1,0.1,0.1,0.2,0.2,1.7,8.1,1.2,0.3
223,24.5,16.8,53.5,81.3,60.9,80.5,54.5,40.8,76.2,19.3
224,0.6,0,0,0.9,0,16,138,65.7,92.5,105.4
225,54.5,45.7,80.8,63.1,55.3,136.7,98.9,47.5,39.3,24.7
226,0,0,0,0,0,0,0,6.1,0,0
227,0,0,0,0.5,0,0,0,7.6,0,0
228,0.8,0.2,1.9,1.3,3.9,31.3,2.9,19,0,0
229,42.7,32.1,117.9,88.4,104.8,139.4,38.6,86.7,125.1,72.8
230,6.2,8.5,26.6,52.1,35.2,52.9,26.8,19.4,17,21.5
231,97.5,80.7,139.3,119.3,146.4,215.3,63.1,102.6,83.2,217
232,22.3,40.1,94.1,35.5,40.5,87.6,58.1,114.5,22.6,43.5
233,25.3,22.3,28.4,35.9,18.8,23.5,12.9,24.9,43.1,50.7
234,168.3,281.6,465.7,564.2,697.3,1103.6,616,824,916.3,1122.8
235,1.7,4.9,3.2,8.7,3,2.2,30,8.1,8.8,1.5
236,54.6,81.5,118.5,100.2,138.7,175.6,396.9,491.8,412.8,489.3
237,6.9,17.7,19.9,12.6,21.1,15.3,89.4,2.7,18.5,9.8
238,0.8,0.6,0,0.3,0.7,0,0.1,0,0,0
239,755.9,1046.3,2052.3,2187.6,2530.9,3712.6,1918.9,2420.9,1318,1569.7
240,116.9,123.6,414.7,295.1,277.5,330.7,318.7,305.8,356.1,404.4
241,1047.7,1251.9,2340.9,2154.1,2481.9,3438.3,1392.6,1573,713.4,655
242,14.2,6.5,23.7,28.1,81,95.5,168.6,441.2,162.5,219.6
243,2066.4,2802.4,4673.5,4670,5625.6,7193,3173.8,3410.3,2602.4,2709.4
244,55.7,49.1,68.4,77.7,84.3,63.8,120.2,92.4,112.8,118.8
